%Arquivo de dados
%tempo[s],Valor[A]
0.000000,0.000000
0.000001,0.003770
0.000002,0.007540
0.000003,0.011310
0.000004,0.015080
0.000005,0.018850
0.000006,0.022619
0.000007,0.026389
0.000008,0.030159
0.000009,0.033929
0.000010,0.037699
0.000011,0.041469
0.000012,0.045239
0.000013,0.049009
0.000014,0.052779
0.000015,0.056548
0.000016,0.060318
0.000017,0.064088
0.000018,0.067858
0.000019,0.071628
0.000020,0.075398
0.000021,0.079167
0.000022,0.082937
0.000023,0.086707
0.000024,0.090477
0.000025,0.094246
0.000026,0.098016
0.000027,0.101786
0.000028,0.105556
0.000029,0.109325
0.000030,0.113095
0.000031,0.116865
0.000032,0.120634
0.000033,0.124404
0.000034,0.128173
0.000035,0.131943
0.000036,0.135713
0.000037,0.139482
0.000038,0.143252
0.000039,0.147021
0.000040,0.150791
0.000041,0.154560
0.000042,0.158330
0.000043,0.162099
0.000044,0.165868
0.000045,0.169638
0.000046,0.173407
0.000047,0.177177
0.000048,0.180946
0.000049,0.184715
0.000050,0.188484
0.000051,0.192254
0.000052,0.196023
0.000053,0.199792
0.000054,0.203561
0.000055,0.207330
0.000056,0.211099
0.000057,0.214868
0.000058,0.218637
0.000059,0.222406
0.000060,0.226175
0.000061,0.229944
0.000062,0.233713
0.000063,0.237482
0.000064,0.241251
0.000065,0.245020
0.000066,0.248788
0.000067,0.252557
0.000068,0.256326
0.000069,0.260095
0.000070,0.263863
0.000071,0.267632
0.000072,0.271400
0.000073,0.275169
0.000074,0.278937
0.000075,0.282706
0.000076,0.286474
0.000077,0.290242
0.000078,0.294011
0.000079,0.297779
0.000080,0.301547
0.000081,0.305315
0.000082,0.309083
0.000083,0.312852
0.000084,0.316620
0.000085,0.320388
0.000086,0.324156
0.000087,0.327923
0.000088,0.331691
0.000089,0.335459
0.000090,0.339227
0.000091,0.342995
0.000092,0.346762
0.000093,0.350530
0.000094,0.354297
0.000095,0.358065
0.000096,0.361832
0.000097,0.365600
0.000098,0.369367
0.000099,0.373135
0.000100,0.376902
0.000101,0.380669
0.000102,0.384436
0.000103,0.388203
0.000104,0.391970
0.000105,0.395737
0.000106,0.399504
0.000107,0.403271
0.000108,0.407038
0.000109,0.410805
0.000110,0.414571
0.000111,0.418338
0.000112,0.422105
0.000113,0.425871
0.000114,0.429638
0.000115,0.433404
0.000116,0.437170
0.000117,0.440937
0.000118,0.444703
0.000119,0.448469
0.000120,0.452235
0.000121,0.456001
0.000122,0.459767
0.000123,0.463533
0.000124,0.467299
0.000125,0.471065
0.000126,0.474830
0.000127,0.478596
0.000128,0.482361
0.000129,0.486127
0.000130,0.489892
0.000131,0.493658
0.000132,0.497423
0.000133,0.501188
0.000134,0.504953
0.000135,0.508718
0.000136,0.512483
0.000137,0.516248
0.000138,0.520013
0.000139,0.523778
0.000140,0.527543
0.000141,0.531307
0.000142,0.535072
0.000143,0.538836
0.000144,0.542601
0.000145,0.546365
0.000146,0.550129
0.000147,0.553893
0.000148,0.557657
0.000149,0.561421
0.000150,0.565185
0.000151,0.568949
0.000152,0.572713
0.000153,0.576477
0.000154,0.580240
0.000155,0.584004
0.000156,0.587767
0.000157,0.591531
0.000158,0.595294
0.000159,0.599057
0.000160,0.602820
0.000161,0.606583
0.000162,0.610346
0.000163,0.614109
0.000164,0.617872
0.000165,0.621634
0.000166,0.625397
0.000167,0.629159
0.000168,0.632922
0.000169,0.636684
0.000170,0.640446
0.000171,0.644208
0.000172,0.647970
0.000173,0.651732
0.000174,0.655494
0.000175,0.659256
0.000176,0.663018
0.000177,0.666779
0.000178,0.670541
0.000179,0.674302
0.000180,0.678063
0.000181,0.681825
0.000182,0.685586
0.000183,0.689347
